Gene name,Gene stable ID version
Dlgap5,ENSCGRG00015000169.1
Mki67,ENSCGRG00015000479.1
Cdc20,ENSCGRG00015001543.1
Cdc25c,ENSCGRG00015002115.1
Cdca3,ENSCGRG00015002553.1
Tpx2,ENSCGRG00015003556.1
Ncapd2,ENSCGRG00015003638.1
Anln,ENSCGRG00015003805.1
Rangap1,ENSCGRG00015005539.1
Hmgb2,ENSCGRG00015006292.1
Cdca8,ENSCGRG00015006309.1
Tubb4b,ENSCGRG00015006968.1
Nuf2,ENSCGRG00015007140.1
Cenpe,ENSCGRG00015007214.1
Cenpf,ENSCGRG00015007334.1
Ctcf,ENSCGRG00015007473.1
Cdca2,ENSCGRG00015008253.1
Ttk,ENSCGRG00015010376.1
G2e3,ENSCGRG00015011233.1
Aurkb,ENSCGRG00015011607.1
Cdk1,ENSCGRG00015012640.1
Hjurp,ENSCGRG00015012992.1
Ckap2l,ENSCGRG00015014240.1
Top2a,ENSCGRG00015014316.1
Gas2l3,ENSCGRG00015014911.1
Bub1,ENSCGRG00015014963.1
Ckap5,ENSCGRG00015015037.1
Nek2,ENSCGRG00015016562.1
Aurka,ENSCGRG00015017144.1
Ccnb2,ENSCGRG00015017465.1
Tmpo,ENSCGRG00015019306.1
Kif20b,ENSCGRG00015020268.1
Kif23,ENSCGRG00015021398.1
Ube2c,ENSCGRG00015021714.1
Hmmr,ENSCGRG00015022126.1
Gtse1,ENSCGRG00015022298.1
Ckap2,ENSCGRG00015022306.1
Smc4,ENSCGRG00015023529.1
Ndc80,ENSCGRG00015023953.1
Nusap1,ENSCGRG00015024097.1
Kif2c,ENSCGRG00015025354.1
Cenpa,ENSCGRG00015026483.1
Psrc1,ENSCGRG00015026485.1
Ect2,ENSCGRG00015027901.1
Cbx5,ENSCGRG00015028688.1
