Gene stable ID,Gene name
ENSCGRG00015000262,Tyms
ENSCGRG00015000743,Rad51
ENSCGRG00015001399,Hells
ENSCGRG00015001440,Cdca7
ENSCGRG00015003024,Blm
ENSCGRG00015003155,Uhrf1
ENSCGRG00015003641,Rfc2
ENSCGRG00015003888,Cdc45
ENSCGRG00015004376,Rrm2
ENSCGRG00015004571,Rad51ap1
ENSCGRG00015005663,Gmnn
ENSCGRG00015006723,Mcm6
ENSCGRG00015007110,Atad2
ENSCGRG00015007374,Clspn
ENSCGRG00015008121,Casp8ap2
ENSCGRG00015008324,Brip1
ENSCGRG00015008374,Dscc1
ENSCGRG00015008992,Fen1
ENSCGRG00015009854,Mcm2
ENSCGRG00015010378,Mcm4
ENSCGRG00015011063,Ccne2
ENSCGRG00015011121,Pcna
ENSCGRG00015014098,Pold3
ENSCGRG00015014325,Pola1
ENSCGRG00015014722,Cdc6
ENSCGRG00015014744,Exo1
ENSCGRG00015014989,Chaf1b
ENSCGRG00015015965,Rpa2
ENSCGRG00015016318,E2f8
ENSCGRG00015016417,Dtl
ENSCGRG00015017614,Rrm1
ENSCGRG00015018688,Mcm5
ENSCGRG00015019678,Wdr76
ENSCGRG00015019960,Usp1
ENSCGRG00015021459,Ubr7
ENSCGRG00015022351,Gins2
ENSCGRG00015023181,Tipin
ENSCGRG00015023475,Msh2
ENSCGRG00015023479,Ung
ENSCGRG00015024733,Nasp
ENSCGRG00015028365,Prim1
